q_id,subject,split,question,translate_question,choice_A,translate_choice_A,choice_B,translate_choice_B,choice_C,translate_choice_C,choice_D,translate_choice_D,answer
10,high_school_microeconomics,test,"Which of the following is most likely an example of production inputs that can be adjusted in the long run, but not in the short run?","Ni ipi kati ya zifuatazo inayowezekana zaidi kuwa mfano wa pembejeo za uzalishaji ambazo hatimaye zinaweza kurekebishwa baada ya muda mrefu, lakini sio baada ya muda mfupi?",Amount of wood used to make a desk.,Kiasi cha kuni kilichotumika kutengeneza dawati.,Number of pickles put on a sandwich.,Idadi ya matango yaliyowekwa kwenye sandwichi.,The size of a McDonald’s kitchen.,Ukubwa wa jikoni ya McDonald’s.,Number of teacher’s assistants in local high schools.,Idadi ya wasaidizi wa walimu katika shule za sekondari za mitaa.,C
11,high_school_microeconomics,test,"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?","Soko la tufaha liko katika hali ya usawa. Tuseme tunaona kwamba wakulima wa tufaha wanatumia dawa zaidi za kuua wadudu ili kuongeza uzalishaji wa tufaha. Wakati huo huo, tunasikia kwamba bei ya pea, tunda mbadala kwa tufaha, inapanda. Ni utabiri gani kati ya yafuatayo unaofaa kwa bei mpya na wingi wa tufaha?","Price rises, but quantity is ambiguous.","Bei hupanda, lakini wingi haueleweki.","Price falls, but quantity is ambiguous.","Bei hushuka, lakini wingi haueleweki.","Price is ambiguous, but quantity rises.","Bei haieleweki, lakini wingi huongezeka.","Price is ambiguous, but quantity falls.","Bei haieleweki, lakini idadi hushuka.",C
12,high_school_microeconomics,test,Which of the following is most likely to result in a shift to the right in the demand curve for orange juice?,Ni ipi kati ya zifuatazo ina uwezekano mkubwa wa kusababisha kuhama kwenda kulia kwa pindo la mahitaji ya juisi ya machungwa?,A bumper crop of oranges in Florida,Mazao mengi ya machungwa huko Florida,A decrease in the price of Tang,Kupungua kwa bei ya Tang,Expectations of lower future prices for orange juice,Matarajio ya bei ya chini ya siku zijazo ya juisi ya machungwa,Expectations of higher future income among juice drinkers,Matarajio ya mapato ya juu ya siku zijazo miongoni mwa wanywaji juisi,D
13,high_school_microeconomics,test,Which of the following statements is accurate in regard to a perfectly competitive firm?,Ni kauli gani kati ya zifuatazo ni sahihi kuhusiana na kampuni yenye ushindani kamili?,Demand is downward-sloping.,Mahitaji ni ya kushuka chini.,The demand curve lies above the marginal revenue curve.,Pindo la mahitaji lipo juu kuliko pindo la mapato ya ziada.,Price is determined by the equilibrium in the entire market.,Bei huamuliwa na usawa katika soko zima.,Average revenue differs from price.,Mapato ya wastani hutofautiana na bei.,C
14,high_school_microeconomics,test,"Economists use the term ""capital"" to mean","Wanauchumi hutumia neno ""mtaji"" kumaanisha",money.,fedha.,plant and equipment.,kiwanda na vifaa.,where the central government is located.,mahali ambapo serikali kuu inapatikana.,the center of the economy.,kitovu cha uchumi.,B
15,high_school_microeconomics,test,"Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,","Ray na Dorothy wanaweza kupika na wanaweza kuvuta magugu kwenye bustani Jumamosi alasiri. Kwa kila saa ya mapishi, Ray anaweza kuvuta magugu 50 na Dorothy anaweza kuvuta magugu 100. Kulingana na habari hii,","Ray pulls weeds, since he has absolute advantage in cooking.","Ray huvuta magugu, kwa kuwa ana ustadi mkubwa wa kupika.","Dorothy pulls weeds, since she has absolute advantage in cooking.","Dorothy huvuta magugu, kwa kuwa ana ustadi mkubwa wa kupika.","Dorothy cooks, since she has comparative advantage in cooking.","Dorothy hupika, kwa kuwa ana ustadi mkubwa wa kupika.","Ray cooks, since he has comparative advantage in cooking.","Ray hupika, kwa kuwa ana ustadi mkubwa wa kupika.",D
16,high_school_microeconomics,test,Your aunt runs a small firm from her home making apple pies. She hires some friends to help her. Which of the following situations would most likely increase her demand for labor?,Shangazi yako anaendesha kampuni ndogo kutoka nyumbani kwake ya kutengeneza mikate ya tufaha. Anaajiri marafiki wengine kumsaidia. Ni hali gani kati ya zifuatazo ambayo inaweza kuongeza mahitaji yake ya nguvu-kazi?,The price of apple peelers/corers rises.,Bei ya vifaa vinavyotumika kuchuja na kupasua matofaa kuongezeka.,"Your aunt’s friends gossip all day, slowing their dough-making process.","Marafiki wa shangazi yako hupiga porojo siku nzima, hivyo kupunguza kasi ya kuandaa unga.",There is a sale on ovens.,Kuna punguzo la bei ya jiko za kuokea.,A new study reveals that apples increase your risk of cancer.,Utafiti mpya unaonyesha kuwa tufaha huongeza hatari yako ya kupata saratani.,C
17,high_school_microeconomics,test,"Mrs. Johnson spends her entire daily budget on potato chips, at a price of $1 each, and onion dip at a price of $2 each. At her current consumption bundle, the marginal utility of chips is 12 and the marginal utility of dip is 30. Mrs. Johnson should","Bi. Johnson hutumia bajeti yake yote ya kila siku kununua vibanzi, kwa bei ya $1 kila moja, na mchuzi wa vitunguu kwa bei ya $2 kila moja. Katika kifurushi chake cha sasa cha matumizi, matumizi ya ziada ya vibanzi ni 12 na matumizi ya ziada ya mchuzi ni 30. Bibi Johnson anapaswa",do nothing; she is consuming her utility maximizing combination of chips and dip.,asifanye chochote; anatumia matumizi yake na hivyo kuongeza mchanganyiko wa vibanzi na mchuzi.,increase her consumption of chips until the marginal utility of chip consumption equals 30.,kuongeza matumizi yake ya vibanzi hadi matumizi ya ziada ya mchuzi yawe sawa na 30.,decrease her consumption of chips until the marginal utility of chip consumption equals 30.,punguza matumizi yake ya vibanzi hadi matumizi ya chini ya vibanzi yawe sawa na 30.,decrease her consumption of chips and increase her consumption of dip until the marginal utility per dollar is equal for both goods.,kupunguza matumizi yake ya vibanzi na uongeze matumizi yake ya mchuzi hadi matumizi ya ziada kwa kila dola yawe sawa kwa bidhaa zote mbili.,D
18,high_school_microeconomics,test,"In the absence of intervention, imperfect competition, externalities, public goods, and imperfect information all result in which of the following?","Kwa kukosekana kwa uingiliaji kati, ushindani usio kamilifu, mambo ya nje, bidhaa za umma, na habari zisizo kamilifu zote husababisha nini kati ya zifuatazo?",Demand curves that should be added vertically,Mipindo ya mahitaji ambayo inapaswa kuwa na muongezeko wima,Market failure,Kushindwa soko,Prices that are too low,Bei ambazo ni za chini sana,Quantities of output that are too high,Kiasi cha pato ambacho ni cha juu sana,B
19,high_school_microeconomics,test,Marginal cost (MC) is equal to average variable cost (AVC) and average total cost (ATC) when:,Gharama ya ziada (MC) ni sawa na wastani wa gharama inayobadilika (AVC) na wastani wa gharama ya jumla (ATC) wakati:,marginal cost (MC) intersects AVC and ATC at their maximum points.,gharama ya ziada (MC) hukingamana AVC na ATC katika sehemu zao za juu zaidi.,AVC and ATC intersect MC at its maximum point.,AVC na ATC hukingamana na MC katika kiwango chake cha juu zaidi.,MC intersects AVC and ATC at their minimum points.,MC hukingamana na AVC na ATC katika viwango vyao vya chini zaidi.,AVC and ATC intersect MC at its minimum point.,AVC na ATC hukingamana na MC katika kiwango chake cha chini zaidi.,C
20,high_school_microeconomics,test,"After Julia received a raise in her income, she began purchasing more ice cream cones and fewer popsicles. For Julia, popsicles","Baada ya Julia kupata nyongeza ya mapato yake, alianza kununua koni zaidi za aiskrimu na pipi za barafu chache. Kwa Julia, pipi za barafu",disobey the law of demand,hazitii sheria ya mahitaji,are a joint product,ni bidhaa ya pamoja,are a complementary good with ice cream,ni bidhaa zenye uhusiano na aiskrimu,are an inferior good,ni bidhaa duni,D
23,high_school_microeconomics,test,A monopoly is less efficient than a perfect competitor because,Ukiritimba hauna ufanisi kuliko mshindani kamili kwa sababu,a monopoly produces more output and sells for a higher price,ukiritimba hutoa pato zaidi na huuzwa kwa bei ya juu,a monopoly produces less output and sells for a higher price,ukiritimba hutoa pato kidogo na huuzwa kwa bei ya juu,a monopoly can make profit in the short run but not in the long run,ukiritimba unaweza hatimaye kuleta faida kwa muda mfupi lakini sio kwa muda mrefu,a perfect competitor breaks even in the short run and the monopoly does not,mshindani kamili huhakikisha gharama ya jumla na mapato ya jumla ni sawa hata kwa muda mfupi ilhali ukiritimba hauwezi,B
24,high_school_microeconomics,test,"In the design of a competitive market system, which of the following does NOT describe how resources are allocated?","Katika muundo wa mfumo wa soko shindani, ni ipi kati ya zifuatazo HAIELEZEI jinsi rasilimali zinavyotengwa?","Price signals that guide producers on what, when, how, and for whom to produce goods and services.","Bei huashiria kuwaelekeza wazalishaji kuhusu nini, lini, jinsi gani, na kwa nani bidhaa na huduma zinazlishwa.",Active government ownership and direction of production.,Umiliki amilifu wa serikali na mwelekeo wa uzalishaji.,Voluntary market exchange between buyers and sellers.,Ubadilishanaji wa soko wa hiari kati ya wanunuzi na wauzaji.,Distribution of income and goods on the basis of contribution or productivity.,Usambazaji wa mapato na bidhaa kwa misingi ya mchango au uzalishaji.,B
25,high_school_microeconomics,test,A production possibility frontier will be a straight line when,Mpaka wa uwezekano wa uzalishaji utakuwa mstari wa moja kwa moja wakati,efficiency is achieved,ufanisi unapatikana,the goods on the axes are perfect substitutes in consumption,bidhaa kwenye mihimili ni mbadala kamili katika matumizi,utility is maximized,matumizi yanakuzwa zaidi,resources are not specialized,rasilimali sio za kipekee,D
26,high_school_microeconomics,test,Which of the following statements is correct?,Ni kauli gani kati ya zifuatazo iliyo sahihi?,Economic Profits = Accounting Profits.,Faida za Kiuchumi = Faida za Uhasibu.,Economic Costs = Explicit Costs plus Implicit Costs.,Gharama za kiuchumi = Gharama za wazi pamoja na Gharama zisizo wazi.,Economic Costs = Explicit Costs minus Implicit Costs.,Gharama za kiuchumi = Gharama za wazi ukiondoa Gharama zisizo wazi.,Opportunity Costs = Economic Profits.,Gharama za fursa = Faida za kiuchumi.,B
27,high_school_microeconomics,test,"If the per unit price of labor, a variable resource, increases, it causes which of the following?","Ikiwa bei ya kila kitengo cha leba, rasilimali inayobadilika, itaongezeka, itasababisha nini kati ya zifuatazo?",An upward shift in AFC.,Mabadiliko ya juu katika AFC.,An upward shift in MPL.,Mabadiliko ya juu katika MPL.,A downward shift in ATC.,Mabadiliko ya chini katika ATC.,An upward shift in MC.,Mabadiliko ya juu katika MC.,D
28,high_school_microeconomics,test,"If the wage paid to all units of labor is $4.50, how many units of labor are hired?","Ikiwa mshahara unaolipwa kwa vitengo vyote vya leba ni $4.50, ni vitengo vingapi vya leba vinavyopata ajira?",1,1,2,2,3,3,4,4,B
29,high_school_microeconomics,test,"If consumers are advised that multigrained bread will substantially lessen the risk of cancer, which of the following will happen in the market for multigrained bread?","Ikiwa watumiaji wanashauriwa kwamba mkate wenye nafaka nyingi utapunguza sana hatari ya saratani, ni ipi kati ya yafuatayo itatokea katika soko la mkate wenye nafaka nyingi?","The demand curve will shift to the left, decreasing the price of multigrained bread.","Pindo la mahitaji litahamia kushoto, na kupunguza bei ya mkate wenye nafaka nyingi.","The supply curve will shift to the left, increasing the price of multigrained bread.","Pindo la usambazaji litahamia kushoto, na kuongeza bei ya mkate wenye nafaka nyingi.","The demand curve will shift to the right, increasing the price of multigrained bread.","Pindo la mahitaji itahamia kulia, na kuongeza bei ya mkate wenye nafaka nyingi.","The supply curve will shift to the right, decreasing the price of multigrained bread.","Pindo la usambazaji litahamia kulia, na kupunguza bei ya mkate wenye nafaka nyingi.",C
30,high_school_microeconomics,test,The market structures of perfect competition and monopolistic competition share which of the following characteristics?,Miundo ya soko ya ushindani kamili na ushindani wa ukiritimba hushiriki sifa zipi kati ya zifuatazo?,Ease of entry and exit in the long run,"Urahisi wa kuingia na kutoka hatimaye, baada ya muda mrefu",Homogenous products,Bidhaa zenye usawa,Perfectly elastic demand for the firm's product,Mahitaji nyumbufu kabisa ya bidhaa ya kampuni,Long-run positive profits,Faida chanya ya muda mrefu,A
31,high_school_microeconomics,test,"When a negative externality exists as the result of the production of a good, the socially optimal quantity of output could be achieved by","Wakati hali hasi ya nje ipo kama matokeo ya uzalishaji wa bidhaa, kiasi bora cha kijamii cha pato kinaweza kupatikana kwa",free market capitalism,uwekezaji wa soko huru,placing limits on the quantity that can be produced,kuweka mipaka juu ya kiasi kinachoweza kuzalishwa,government purchases of the good,serikali kuhusika katika ununuzi wa bidhaa,setting a minimum on the quantity that can be produced,kuweka kiwango cha chini cha kiasi ambacho kinaweza kuzalishwa,B
32,high_school_microeconomics,test,"Jason cleans swimming pools in a perfectly competitive local market. A profit maximizer, he can charge $10 per pool to clean 9 pools per day, incurring total variable costs of $80 and total fixed costs of $20. Which of the following is true?","Jason anasafisha mabwawa ya kuogelea katika soko la ndani lenye ushindani kamili. Kuongeza faida, anaweza kutoza $10 kwa kila bwawa ili kusafisha mabwawa 9 kwa siku, na kusababisha gharama tofauti za $80 na jumla ya gharama zisizobadilika za $20. Ni ipi kati ya zifuatazo ni kweli?","Jason should shut down in the short run, with economic losses of $20.","Jason anapaswa kufunga kazi hatimaye, baada ya muda mfupi, na hasara za kiuchumi za $20.","Jason should shut down in the short run, with economic losses of $10.","Jason anapaswa kufunga kazi hatimaye, baada ya muda mfupi, na hasara za kiuchumi za $10.","Jason should clean 9 pools per day, with economic losses of $20.","Jason anapaswa kusafisha mabwawa 9 kwa siku, na hasara za kiuchumi za $20.","Jason should clean 9 pools per day, with economic losses of $10.","Jason anapaswa kusafisha mabwawa 9 kwa siku, na hasara za kiuchumi za $10.",D
34,high_school_microeconomics,test,The competitive market provides the best outcome for society because,Soko la ushindani hutoa matokeo bora kwa jamii kwa sababu,"consumer surplus is minimized, while producer surplus is maximized.","ziada ya watumiaji hupunguzwa, huku ziada ya mzalishaji ikiongezwa.",the total welfare is maximized.,ustawi wa jumla unakuzwa.,"producer surplus is minimized, while consumer surplus is maximized.","ziada ya mzalishaji hupunguzwa, huku ziada ya watumiaji ikiongezwa.",the difference between consumer and producer surplus is maximized.,tofauti kati ya ziada ya watumiaji na ya mzalishaji inakuzwa.,B
35,high_school_microeconomics,test,You are told that the income elasticity for DVDs is + 1.5. This means that,Unaambiwa kuwa unyumbufu wa mapato kwa DVD ni + 1.5. Hii ina maana kwamba,a 10 percent increase in income produces a 15 percent increase in consumption of DVDs. DVDs are a normal luxury good.,ongezeko la asilimia 10 la mapato husababisha ongezeko la asilimia 15 la matumizi ya DVD. DVD kwa kawaida ni bidhaa za kawaida za starehe.,a 10 percent increase in income produces a 15 percent increase in consumption of DVDs. DVDs are an inferior good.,ongezeko la asilimia 10 la mapato husababisha ongezeko la asilimia 15 la matumizi ya DVD. DVD ni bidhaa duni.,a 10 percent increase in income produces a 15 percent decrease in consumption of DVDs. DVDs are an inferior good.,ongezeko la asilimia 10 la mapato husababisha kupungua kwa asilimia 15 kwa matumizi ya DVD. DVD ni bidhaa ya hali duni.,a 10 percent increase in the price of DVDs produces a 15 percent decrease in consumption of DVDs. DVDs are a price elastic good.,ongezeko la asilimia 10 la bei ya DVD husababisha kupungua kwa asilimia 15 kwa matumizi ya DVD. DVDs ni bidhaa zenye unyumbufu wa bei.,A
36,high_school_microeconomics,test,"If the price of a product decreases with the price of a substitute product remaining constant such that the consumer buys more of this product, this is called the","Ikiwa bei ya bidhaa itapungua huku bei ya bidhaa mbadala kubaki ilivyo kiasi cha wamba mtumiaji ananunua kiasi zaidi cha bidhaa hii, hali hii inaitwa",income effect.,athari ya mapato.,substitution effect.,athari mbadala.,marginal effect.,athari ya ziada.,supply effect.,athari ya usambazaji.,B
37,high_school_microeconomics,test,Which of the following is an example of a transfer earning?,Gani kati ya ifuatayo ni mfano wa mapato ya uhamisho?,A superstar basketball player's $40 million earnings.,Mapato ya mchezaji mashuhuri wa mpira wa vikapu ya milioni $40.,A social security retirement income.,Mapato ya kustaafu ya hifadhi ya jamii.,A welfare payment from social services.,Malipo ya ustawi kutoka kwa huduma za kijamii.,A cashier at a restaurant receiving the same $8 an hour that other cashiers receive.,Mtunza fedha katika mkahawa akipokea $8 ileile kwa saa ambayo watunza fedha wengine hupokea.,D
38,high_school_microeconomics,test,"A small business estimates price elasticity of demand for the product to be 3. To raise total revenue, owners should","Biashara ndogo inakadiria unyumbufu wa bei wa mahitaji ya bidhaa kuwa 3. Ili kuongeza mapato yote, wamiliki wanapaswa",decrease price as demand is elastic.,kupungua kwa bei kwani mahitaji ni nyumbufu.,decrease price as demand is inelastic.,kupungua kwa bei kwani mahitaji sio nyumbufu.,increase price as demand is elastic.,kuongezeka kwa bei kwani mahitaji ni nyumbufu.,increase price as demand is inelastic.,kuongezeka kwa bei kwani mahitaji sio nyumbufu.,A
39,high_school_microeconomics,test,A bilateral monopoly exists when,Ukiritimba wa nchi mbili hutokea wakati,a monopsony buys from a monopoly,mnunuzi wa kipekee hununua kutokana na ukiritimba,a monopoly sells to two different types of consumers,ukiritimba huuzwa kwa aina mbili tofauti za watumiaji,a monopoly buys from a monopsony,ukiritimba hununua kutoka kwa mnunuzi wa kipekee,a monopolist sells two different types of goods,mkiritimba huuza aina mbili tofauti za bidhaa,A
40,high_school_microeconomics,test,"If firms are entering an industry that is monopolistically competitive, we would expect","Ikiwa makampuni yanaingia kwenye sekta ambayo ina ushindani wa ukiritimba, tungetarajia",the demand for existing firms to shift rightward.,mahitaji ya makampuni yaliyopo kuhamia kuelekea upande wa kulia.,the market price of the product to increase.,bei ya soko ya bidhaa kuongezeka.,the demand for existing firms to become more inelastic.,mahitaji ya makampuni yaliyopo kutokuwa na unyumbufu zaidi.,the demand for existing firms to shift leftward.,mahitaji ya makampuni yaliyopo kuhamia kuelekea upande wa kushoto.,D
41,high_school_microeconomics,test,The Law of Diminishing Marginal Returns is responsible for,Sheria ya Kupunguza Marejesho ya Pembeni inawajibikia,"AVC that first rises, but eventually falls, as output increases.","AVC ambayo huinuka kwanza, lakini hatimaye hushuka kadiri pato linavyoongezeka.","AFC that first rises, but eventually falls, as output increases.","AFC ambayo huinuka kwanza, lakini hatimaye hushuka kadiri pato linavyoongezeka.","MP that first falls, but eventually rises, as output increases.","MP ambayo hushuka kwanza, lakini hatimaye huinuka, kadiri pato linavyoongezeka.","MC that first falls, but eventually rises, as output increases.","MC ambayo hushuka kwanza, lakini hatimaye huinuka, kadiri pato linavyoongezeka.",D
42,high_school_microeconomics,test,"Which of the following would best complete a short definition of economics? ""Economics is the study of . . .""","Ni ipi kati ya zifuatazo ambayo ingekamilisha vyema ufafanuzi mfupi wa uchumi? ""Uchumi ni utafiti wa . . .""",how unlimited resources are allocated between scarce wants.,jinsi rasilimali zisizo na kikomo zinavyotengwa kati ya mahitaji machache.,how money is circulated through the economy.,jinsi pesa zinavyosambazwa kupitia uchumi.,how corporations maximize the share price of their stock.,jinsi mashirika yanavyoongeza bei ya hisa zao.,how scarce resources are allocated to satisfy unlimited wants.,jinsi rasilimali adimu zinavyotengwa ili kukidhi mahitaji yasiyo na kikomo.,D
43,high_school_microeconomics,test,"With capital fixed at one unit with 1, 2, 3 units of labor added in equal successive units, production of the output increases from 300 (1 unit of labor), to 350 (2 units of labor) to 375 (3 units of labor). Which of the following is a correct interpretation?","Huku mtaji ukiwekwa katika kitengo kimoja na vitengo 1, 2, 3 vya leba vilivyoongezwa katika vitengo sawa mfululizo, uzalishaji wa pato huongezeka kutoka 300 (kitengo 1 cha leba), hadi 350 (vitengo 2 vya leba) hadi 375 (vitengo 3 vya leba). Ni fasiri gani kati ya zifuatazo iliyo sahihi?",This is long run increasing returns to scale.,Ni kuongezeka kwa faida kwa kiwango baada ya muda mrefu.,This is long run decreasing returns to scale.,Ni kupungua kwa faida kwa kiwango baada ya muda mrefu.,This is long run constant returns to scale.,Ni kurudi kwa kiwango cha mara kwa mara baada ya muda mrefu.,This is short run diminishing marginal productivity.,Ni uzalishaji wa ziada unaopungua baada ya muda mfupi.,D
44,high_school_microeconomics,test,Which of the following is the best example of a public good?,Ni mfano gani kati ya ifuatayo ambao ni bora zaidi wa mali ya umma?,Private violin lessons,Mafunzo ya kibinafsi ya fidla,The volunteer fire department in your community,Idara ya wazima-moto ya kujitolea katika jumuiya yako,A $1 ticket for admission to a museum,Tikiti ya $1 ya kuingia kwenye jumba la makumbusho,A bag of potato chips,Mfuko wa vibanzi,B
45,high_school_microeconomics,test,Which of the following is the best example of a public good?,Ni mfano gani kati ya ifuatayo ambao ni bora zaidi wa mali ya umma?,A visit to the orthodontist,Ziara ya daktari wa meno,A session at the tanning salon,Kikao katika saluni ya kubadilisha rangi ya ngozi,A large pizza,Piza kubwa,The International Space Station,Kituo cha Kimataifa cha Anga za Juu,D
46,high_school_microeconomics,test,"When the cross-price elasticity of demand is negative, the goods in question are necessarily","Wakati unyumbufu wa bei tofauti za mahitaji ni hasi, bidhaa zinazohusika ni lazima ziwe",normal,kawaida,inferior,duni,complementary,zenye uhusiano,substitutes,mbadala,C
47,high_school_microeconomics,test,A competitive labor market is currently in equilibrium. Which of the following most likely increases the market wage?,Soko la ushindani la ajira kwa sasa liko katika usawa. Ni ipi kati ya zifuatazo uwezekano mkubwa wa kuongeza zaidi mshahara wa soko?,More students graduate with the necessary skills for this labor market.,Wanafunzi wengi zaidi huhitimu wakiwa na stadi zinazohitajika katika soko hili la leba.,Demand for the good produced by this labor is stronger.,Mahitaji ya bidhaa inayozalishwa na leba hii yana nguvu zaidi.,The price of a complementary resource increases.,Bei ya rasilimali inayohusiana huongezeka.,The Department of Labor removes the need for workers to pass an exam before they can work in this field.,Idara ya Leba huondoa hitaji la wafanyikazi kufaulu mtihani kabla ya kufanya kazi katika uwanja huu.,B
48,high_school_microeconomics,test,One of the reasons that the government discourages and regulates monopolies is that,Moja ya sababu zinazoifanya serikali kukatisha tamaa na kudhibiti ukiritimba ni kwamba,producer surplus is lost and consumer surplus is gained.,ziada ya mzalishaji inapotea na ziada ya watumiaji hupatikana.,monopoly prices ensure productive efficiency but cost society allocative efficiency.,bei za ukiritimba huhakikisha ufanisi wa uzalishaji lakini hugharimu ufanisi wa ugawaji wa jamii.,monopoly firms do not engage in significant research and development.,makampuni ya ukiritimba hayashiriki katika utafiti na maendeleo muhimu.,consumer surplus is lost with higher prices and lower levels of output.,ziada ya watumiaji inapotea kutokana na bei za juu na viwango vya chini vya pato.,D
49,high_school_microeconomics,test,Which of the following is true of equilibrium in a purely (or perfectly) competitive market for good X?,Ni ipi kati ya yafuatayo ambayo ni kweli ya usawa katika soko (au kikamilifu) la ushindani la bidhaa X?,A shortage of good X exists.,Uhaba wa bidhaa X upo.,The quantity demanded equals the quantity supplied of good X.,Kiasi kinachohitajika ni sawa na kiasi kinachotolewa cha bidhaa X.,A surplus of good X exists.,Ziada ya bidhaa X ipo.,The government regulates the quantity of good X produced at the market price.,Serikali inadhibiti kiasi cha bidhaa X inayozalishwa kwa bei ya soko.,B
50,high_school_microeconomics,test,"When the price of pears increases, we expect the following:","Wakati bei ya matunda ya pea inaongezeka, tunatarajia yafuatayo:",Quantity demanded of pears rises.,Kiasi kinachohitajika cha matunda ya pea kuongezeka.,Quantity supplied of pears falls.,Kiasi cha matunda ya pea kinachosambazwa hushuka.,Quantity demanded of pears falls.,Kiasi kinachohitajika cha matunda ya pea hushuka.,Demand for pears falls.,Mahitaji ya matunda ya pea hushuka.,C
51,high_school_microeconomics,test,"If the demand for grapes increases simultaneously with an increase in the supply of grapes, we can say that","Ikiwa mahitaji ya zabibu yanaongezeka na wakati huo huo kuna ongezeko la usambazaji wa zabibu, tunaweza kusema kwamba","equilibrium quantity rises, but the price change is ambiguous.","kiasi cha usawa huongezeka, lakini mabadiliko ya bei ni tatanishi.","equilibrium quantity falls, but the price change is ambiguous.","kiasi cha usawa hushuka, lakini mabadiliko ya bei ni tatanishi.","equilibrium quantity rises, and the price rises.","kiasi cha usawa hupanda, na bei hupanda.","equilibrium quantity falls, and the price falls.","kiasi cha usawa hushuka, na bei hushuka.",A
52,high_school_microeconomics,test,"If the government wishes to regulate a natural monopoly so that it produces an allocatively efficient level of output, it would be at an output","Ikiwa serikali ingetaka kudhibiti ukiritimba wa asili ili itoe kiwango cha ufanisi cha pato, itakuwa katika pato",where price is equal to average total cost.,ambapo bei ni sawa na wastani wa gharama ya jumla.,where marginal revenue equals marginal cost.,ambapo mapato ya ziada ni sawa na gharama ya ziada.,where normal profits are made.,ambapo faida ya kawaida hufanyika.,where price is equal to marginal cost.,ambapo bei ni sawa na gharama ya ziada.,D
53,high_school_microeconomics,test,"When price elasticity of demand is greater than 1, demand is","Wakati unyumbufu wa mahitaji ni kubwa kuliko 1, mahitaji ni",perfectly inelastic.,yasiyonyumbulika kikamilifu.,elastic.,nyumbufu.,inelastic.,yasiyo nyumbufu.,unit elastic.,kitengo nyumbufu,B
54,high_school_microeconomics,test,Which of the following tax systems is designed to redistribute income from the wealthy to the poor?,Ni mfumo gani kati ya ifuatayo ya ushuru ambao umeundwa kugawa upya mapato kutoka kwa matajiri hadi kwa maskini?,A progressive tax system,Mfumo wa ushuru unaoendelea,A regressive tax system,Mfumo wa ushuru wa kurudi nyuma,A proportional tax system,Mfumo wa ushuru wenye uwiano,An excise tax system,Mfumo wa ushuru wa bidhaa,A
55,high_school_microeconomics,test,Which of these situations is not an example of price discrimination?,Ni hali gani kati ya hizi sio mfano wa ubaguzi wa bei?,"Brent works nights, so he chooses to buy bread at 7 a.m. rather than at 7 p.m.","Brent hufanya kazi usiku, kwa hivyo anachagua kununua mkate saa 7 asubuhi badala ya saa 7 jioni.","Bob and Nancy each receive a ""$1 off"" coupon in the mail, but Bob redeems it while Nancy does not.","Bob na Nancy kila mmoja anapokea kuponi ya ""kupunguzwa kwa $1"" kwenye barua, lakini Bob anaitumia ilhali Nancy haitumii.","Katie buys 12 Cokes for $3, and Josh buys one Coke at a time for $1.","Katie ananunua Coke 12 kwa bei ya $3, na Josh ananunua Coke moja moja kwa bei ya $1.","Velma likes to go to the movies at the lower afternoon matinee price, and Rosemary would rather pay more for the evening show.","Velma anapenda kwenda kutazama sinema kwa bei ya chini ya alasiri, na Rosemary angependelea kulipa zaidi kwa onyesho la jioni.",A
56,high_school_microeconomics,test,"With the presence of a positive externality, which of the following would correct the externality?","Kwa kuwepo kwa hali ya nje chanya, ni ipi kati ya zifuatazo ingerekebisha hali ya nje?",A government subsidy.,Ruzuku ya serikali.,A government tax.,Ushuru wa serikali.,A higher price.,Bei ya juu.,A lower level of output.,Kiwango cha chini cha pato.,A
57,high_school_microeconomics,test,"The market for denim jeans is in equilibrium, and the price of polyester pants, a substitute good, rises. In the jean market","Soko la jeans ya denimu iko katika usawaziko, na bei ya suruali ya polyester, bidhaa mbadala, inapanda. Katika soko la jeans","supply falls, increasing the price and decreasing the quantity.","usambazaji hupungua, bei ikiongezeka na kupunguza idadi.","supply falls, increasing the price and increasing the quantity.","usambazaji hupungua, bei ikiongezeka na kuongeza idadi.","demand falls, increasing the price and decreasing the quantity.","mahitaji hupungua, bei ikiongezeka na kupunguza idadi.","demand rises, increasing the price and increasing the quantity.","mahitaji huongezeka, bei ikiongezeka na kuongeza idadi.",D
58,high_school_microeconomics,test,A rational consumer who is eating Girl Scout cookies stops eating when,Mtumiaji mwenye busara ambaye anakula biskuti za Girl Scout huacha kuzila wakati,the total benefit equals the total cost of eating cookies.,faida ya jumla ni sawa na jumla ya gharama ya kula biskuti.,the marginal benefit equals the marginal cost of the next cookie.,malipo ya ziada ni sawa na gharama ya ziada ya biskuti inayofuata.,the marginal cost of eating cookies is maximized.,gharama ya ziada ya kula iskuti inaongezwa.,the marginal benefit of eating cookies is minimized.,malipo ya ziada ya kula biskuti hupunguzwa.,B
